"1st Choice","2nd Choice","3rd Choice","4th Choice","5th Choice","6th Choice","7th Choice","8th Choice","9th Choice","10th Choice","11th Choice","12th Choice","13th Choice","14th Choice","15th Choice","16th Choice","17th Choice","18th Choice","19th Choice","20th Choice","21st Choice","22nd Choice","23rd Choice","24th Choice","25th Choice","26th Choice"
"Simmons, E. Denise","Carlone, Dennis J.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tierney, Sean","Musgrave, Adriane B.","McGovern, Marc C.","Devereux, Jan","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Devereux, Jan","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Simmons, E. Denise","Musgrave, Adriane B.","Mallon, Alana M.","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Kelley, Craig A.","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Tierney, Sean","Musgrave, Adriane B.","Mallon, Alana M.","Simmons, E. Denise","McGovern, Marc C.","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Mallon, Alana M.","Kelley, Craig A.","Devereux, Jan","Levy, Ilan","Carlone, Dennis J.","Simmons, E. Denise","McGovern, Marc C.","Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sutton, Bryan","Okamoto, Nadya T.","Simmons, E. Denise","Volmar, Gwen Thomas","D'Ambrosio, Olivia","Kelley, Craig A.","McGovern, Marc C.","Devereux, Jan","Carlone, Dennis J.","Toomey, Jr., Timothy J.","Moree, Gregg J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Jeff","Simmons, E. Denise","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Simmons, E. Denise","Mallon, Alana M.","D'Ambrosio, Olivia","Volmar, Gwen Thomas","Siddiqui, Sumbul","Okamoto, Nadya T.","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Siddiqui, Sumbul","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toomey, Jr., Timothy J.","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard","Tierney, Sean","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Devereux, Jan","Carlone, Dennis J.","Toner, Paul F.","Okamoto, Nadya T.","Musgrave, Adriane B.","D'Ambrosio, Olivia","Volmar, Gwen Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Simmons, E. Denise","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","McGovern, Marc C.","Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","McGovern, Marc C.","Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toner, Paul F.","Siddiqui, Sumbul","Kelley, Craig A.","Harding, Jr., Richard","Okamoto, Nadya T.","Toomey, Jr., Timothy J.","McGovern, Marc C.","Volmar, Gwen Thomas","Benjamin, Ronald","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Lenke, Dan","Levy, Ilan","Moree, Gregg J.","Pillai, Hari I.","Burgin, Josh M.","Simmons, E. Denise","Sutton, Bryan","Sivongxay, Vatsady","Tierney, Sean","Zondervan, Quinton Y.","Santos, Jeff","Gebru, Samuel",NA,NA
"Devereux, Jan","McGovern, Marc C.","Carlone, Dennis J.","Kelley, Craig A.","Simmons, E. Denise","Levy, Ilan","Harding, Jr., Richard","Toner, Paul F.","Mallon, Alana M.","Sivongxay, Vatsady","Santos, Jeff","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musgrave, Adriane B.","Tierney, Sean","Mallon, Alana M.","Gebru, Samuel","Kelley, Craig A.","Simmons, E. Denise","McGovern, Marc C.","Toner, Paul F.","Siddiqui, Sumbul","Toomey, Jr., Timothy J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
