"","truncation","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","1",1,1,1
"2","2",1,2,2
"3","3",1,3,3
"4","4",1,4,4
"5","5",1,5,5
"6","6",1,6,6
"7","1",2,1,1
"8","2",2,2,2
"9","3",2,3,3
"10","4",2,4,4
"11","5",1,5,5
"12","6",1,6,6
"13","1",0,1,1
"14","2",1,2,2
"15","3",1,3,3
"16","4",1,4,4
"17","5",1,5,5
"18","6",1,6,6
"19","1",2,1,1
"20","2",2,2,2
"21","3",1,3,3
"22","4",1,4,4
"23","5",1,5,5
"24","6",1,6,6
"25","1",0,1,1
"26","2",1,2,2
"27","3",1,3,3
"28","4",1,4,4
"29","5",1,5,5
"30","6",1,6,6
"31","1",1,1,1
"32","2",1,2,2
"33","3",1,3,3
"34","4",1,4,4
"35","5",1,5,5
"36","6",1,6,6
"37","1",0,1,1
"38","2",1,2,2
"39","3",1,3,3
"40","4",1,4,4
"41","5",1,5,5
"42","6",1,6,6
"43","1",1,1,1
"44","2",1,2,2
"45","3",1,3,3
"46","4",1,4,4
"47","5",1,5,5
"48","6",1,6,6
"49","1",1,1,1
"50","2",1,2,2
"51","3",1,3,3
"52","4",1,4,4
"53","5",1,5,5
"54","6",1,6,6
"55","1",1,1,1
"56","2",1,2,2
"57","3",1,3,3
"58","4",1,4,4
"59","5",1,5,5
"60","6",1,6,6
"61","1",1,1,1
"62","2",1,2,2
"63","3",1,3,3
"64","4",1,4,4
"65","5",1,5,5
"66","6",1,6,6
"67","1",0,1,1
"68","2",1,2,2
"69","3",1,3,3
"70","4",1,4,4
"71","5",1,5,5
"72","6",1,6,6
"73","1",1,1,1
"74","2",1,2,2
"75","3",1,3,3
"76","4",1,4,4
"77","5",1,5,5
"78","6",1,6,6
"79","1",0,1,1
"80","2",1,2,2
"81","3",1,3,3
"82","4",1,4,4
"83","5",1,5,5
"84","6",1,6,6
"85","1",1,1,1
"86","2",1,2,2
"87","3",1,3,3
"88","4",1,4,4
"89","5",1,5,5
"90","6",1,6,6
"91","1",1,1,1
"92","2",1,2,2
"93","3",1,3,3
"94","4",1,4,4
"95","5",1,5,5
"96","6",1,6,6
"97","1",1,1,1
"98","2",1,2,2
"99","3",1,3,3
"100","4",1,4,4
"101","5",1,5,5
"102","6",1,6,6
"103","1",2,1,1
"104","2",2,2,2
"105","3",2,3,3
"106","4",1,4,4
"107","5",1,5,5
"108","6",1,6,6
"109","1",1,1,1
"110","2",1,2,2
"111","3",1,3,3
"112","4",1,4,4
"113","5",1,5,5
"114","6",1,6,6
"115","1",2,1,1
"116","2",2,2,2
"117","3",2,3,3
"118","4",1,4,4
"119","5",1,5,5
"120","6",1,6,6
"121","1",2,1,1
"122","2",2,2,2
"123","3",1,3,3
"124","4",1,4,4
"125","5",1,5,5
"126","6",1,6,6
"127","1",1,1,1
"128","2",1,2,2
"129","3",1,3,3
"130","4",1,4,4
"131","5",1,5,5
"132","6",1,6,6
"133","1",1,1,1
"134","2",1,2,2
"135","3",1,3,3
"136","4",1,4,4
"137","5",1,5,5
"138","6",1,6,6
"139","1",1,1,1
"140","2",1,2,2
"141","3",1,3,3
"142","4",1,4,4
"143","5",1,5,5
"144","6",1,6,6
"145","1",0,1,1
"146","2",1,2,2
"147","3",1,3,3
"148","4",1,4,4
"149","5",1,5,5
"150","6",1,6,6
"151","1",1,1,1
"152","2",1,2,2
"153","3",1,3,3
"154","4",1,4,4
"155","5",1,5,5
"156","6",1,6,6
"157","1",3,1,1
"158","2",2,2,2
"159","3",1,3,3
"160","4",1,4,4
"161","5",1,5,5
"162","6",1,6,6
"163","1",1,1,1
"164","2",2,2,2
"165","3",1,3,3
"166","4",1,4,4
"167","5",1,5,5
"168","6",1,6,6
"169","1",1,1,1
"170","2",1,2,2
"171","3",1,3,3
"172","4",1,4,4
"173","5",1,5,5
"174","6",1,6,6
"175","1",1,1,1
"176","2",1,2,2
"177","3",1,3,3
"178","4",1,4,4
"179","5",1,5,5
"180","6",1,6,6
"181","1",1,1,1
"182","2",1,2,2
"183","3",1,3,3
"184","4",1,4,4
"185","5",1,5,5
"186","6",1,6,6
"187","1",0,1,1
"188","2",1,2,2
"189","3",1,3,3
"190","4",1,4,4
"191","5",1,5,5
"192","6",1,6,6
"193","1",1,1,1
"194","2",1,2,2
"195","3",1,3,3
"196","4",1,4,4
"197","5",1,5,5
"198","6",1,6,6
"199","1",0,1,1
"200","2",1,2,2
"201","3",1,3,3
"202","4",1,4,4
"203","5",1,5,5
"204","6",1,6,6
"205","1",2,1,1
"206","2",1,2,2
"207","3",1,3,3
"208","4",1,4,4
"209","5",1,5,5
"210","6",1,6,6
"211","1",2,1,1
"212","2",2,2,2
"213","3",1,3,3
"214","4",1,4,4
"215","5",1,5,5
"216","6",1,6,6
"217","1",1,1,1
"218","2",1,2,2
"219","3",1,3,3
"220","4",1,4,4
"221","5",1,5,5
"222","6",1,6,6
"223","1",0,1,1
"224","2",1,2,2
"225","3",1,3,3
"226","4",1,4,4
"227","5",1,5,5
"228","6",1,6,6
"229","1",0,1,1
"230","2",1,2,2
"231","3",1,3,3
"232","4",1,4,4
"233","5",1,5,5
"234","6",1,6,6
"235","1",2,1,1
"236","2",1,2,2
"237","3",1,3,3
"238","4",1,4,4
"239","5",1,5,5
"240","6",1,6,6
"241","1",1,1,1
"242","2",2,2,2
"243","3",2,3,3
"244","4",1,4,4
"245","5",1,5,5
"246","6",1,6,6
"247","1",0,1,1
"248","2",1,2,2
"249","3",1,3,3
"250","4",1,4,4
"251","5",1,5,5
"252","6",1,6,6
"253","1",1,1,1
"254","2",1,2,2
"255","3",1,3,3
"256","4",1,4,4
"257","5",1,5,5
"258","6",1,6,6
"259","1",0,1,1
"260","2",1,2,2
"261","3",1,3,3
"262","4",1,4,4
"263","5",1,5,5
"264","6",1,6,6
"265","1",1,1,1
"266","2",1,2,2
"267","3",1,3,3
"268","4",1,4,4
"269","5",1,5,5
"270","6",1,6,6
"271","1",1,1,1
"272","2",2,2,2
"273","3",1,3,3
"274","4",1,4,4
"275","5",1,5,5
"276","6",1,6,6
"277","1",1,1,1
"278","2",2,2,2
"279","3",1,3,3
"280","4",1,4,4
"281","5",1,5,5
"282","6",1,6,6
"283","1",0,1,1
"284","2",1,2,2
"285","3",1,3,3
"286","4",1,4,4
"287","5",1,5,5
"288","6",1,6,6
"289","1",0,1,1
"290","2",1,2,2
"291","3",1,3,3
"292","4",1,4,4
"293","5",1,5,5
"294","6",1,6,6
"295","1",1,1,1
"296","2",1,2,2
"297","3",1,3,3
"298","4",1,4,4
"299","5",1,5,5
"300","6",1,6,6
"301","1",0,1,1
"302","2",1,2,2
"303","3",1,3,3
"304","4",1,4,4
"305","5",1,5,5
"306","6",1,6,6
"307","1",0,1,1
"308","2",2,2,2
"309","3",1,3,3
"310","4",1,4,4
"311","5",1,5,5
"312","6",1,6,6
"313","1",2,1,1
"314","2",1,2,2
"315","3",1,3,3
"316","4",1,4,4
"317","5",1,5,5
"318","6",1,6,6
"319","1",1,1,1
"320","2",1,2,2
"321","3",1,3,3
"322","4",1,4,4
"323","5",1,5,5
"324","6",1,6,6
"325","1",1,1,1
"326","2",1,2,2
