"","truncation","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","1",2,4,1
"2","2",2,4.4,2
"3","3",2,4.8,3
"4","4",2,5.2,4
"5","5",2,5.6,5
"6","6",2,6,6
"7","1",2,4,1
"8","2",2,4.4,2
"9","3",2,4.8,3
"10","4",2,5.2,4
"11","5",2,5.6,5
"12","6",2,6,6
"13","1",1,4,1
"14","2",2,4.4,2
"15","3",2,4.8,3
"16","4",2,5.2,4
"17","5",2,5.6,5
"18","6",2,6,6
"19","1",2,4,1
"20","2",2,4.4,2
"21","3",2,4.8,3
"22","4",2,5.2,4
"23","5",2,5.6,5
"24","6",2,6,6
"25","1",2,4,1
"26","2",2,4.4,2
"27","3",2,4.8,3
"28","4",2,5.2,4
"29","5",2,5.6,5
"30","6",2,6,6
"31","1",1,4,1
"32","2",2,4.4,2
"33","3",2,4.8,3
"34","4",2,5.2,4
"35","5",2,5.6,5
"36","6",2,6,6
"37","1",2,4,1
"38","2",2,4.4,2
"39","3",2,4.8,3
"40","4",2,5.2,4
"41","5",2,5.6,5
"42","6",2,6,6
"43","1",1,4,1
"44","2",2,4.4,2
"45","3",2,4.8,3
"46","4",2,5.2,4
"47","5",2,5.6,5
"48","6",2,6,6
"49","1",2,4,1
"50","2",2,4.4,2
"51","3",2,4.8,3
"52","4",2,5.2,4
"53","5",2,5.6,5
"54","6",2,6,6
"55","1",2,4,1
"56","2",2,4.4,2
"57","3",2,4.8,3
"58","4",2,5.2,4
"59","5",2,5.6,5
"60","6",2,6,6
"61","1",1,4,1
"62","2",2,4.4,2
"63","3",2,4.8,3
"64","4",2,5.2,4
"65","5",2,5.6,5
"66","6",2,6,6
"67","1",2,4,1
"68","2",2,4.4,2
"69","3",2,4.8,3
"70","4",2,5.2,4
"71","5",2,5.6,5
"72","6",2,6,6
"73","1",2,4,1
"74","2",2,4.4,2
"75","3",2,4.8,3
"76","4",2,5.2,4
"77","5",2,5.6,5
"78","6",2,6,6
"79","1",1,4,1
"80","2",2,4.4,2
"81","3",2,4.8,3
"82","4",2,5.2,4
"83","5",2,5.6,5
"84","6",2,6,6
"85","1",1,4,1
"86","2",1,4.4,2
"87","3",2,4.8,3
"88","4",2,5.2,4
"89","5",2,5.6,5
"90","6",2,6,6
"91","1",1,4,1
"92","2",2,4.4,2
"93","3",2,4.8,3
"94","4",2,5.2,4
"95","5",2,5.6,5
"96","6",2,6,6
"97","1",2,4,1
"98","2",2,4.4,2
"99","3",2,4.8,3
"100","4",2,5.2,4
"101","5",2,5.6,5
"102","6",2,6,6
"103","1",2,4,1
"104","2",2,4.4,2
"105","3",2,4.8,3
"106","4",2,5.2,4
"107","5",2,5.6,5
"108","6",2,6,6
"109","1",2,4,1
"110","2",2,4.4,2
"111","3",2,4.8,3
"112","4",2,5.2,4
"113","5",2,5.6,5
"114","6",2,6,6
"115","1",2,4,1
"116","2",2,4.4,2
"117","3",2,4.8,3
"118","4",2,5.2,4
"119","5",2,5.6,5
"120","6",2,6,6
"121","1",2,4,1
"122","2",2,4.4,2
"123","3",2,4.8,3
"124","4",2,5.2,4
"125","5",2,5.6,5
"126","6",2,6,6
"127","1",2,4,1
"128","2",2,4.4,2
"129","3",2,4.8,3
"130","4",2,5.2,4
"131","5",2,5.6,5
"132","6",2,6,6
"133","1",1,4,1
"134","2",2,4.4,2
"135","3",2,4.8,3
"136","4",2,5.2,4
"137","5",2,5.6,5
"138","6",2,6,6
"139","1",2,4,1
"140","2",2,4.4,2
"141","3",2,4.8,3
"142","4",2,5.2,4
"143","5",2,5.6,5
"144","6",2,6,6
"145","1",2,4,1
"146","2",2,4.4,2
"147","3",2,4.8,3
"148","4",2,5.2,4
"149","5",2,5.6,5
"150","6",2,6,6
"151","1",2,4,1
"152","2",2,4.4,2
"153","3",2,4.8,3
"154","4",2,5.2,4
"155","5",2,5.6,5
"156","6",2,6,6
"157","1",1,4,1
"158","2",2,4.4,2
"159","3",2,4.8,3
"160","4",2,5.2,4
"161","5",2,5.6,5
"162","6",2,6,6
"163","1",2,4,1
"164","2",2,4.4,2
"165","3",2,4.8,3
"166","4",2,5.2,4
"167","5",2,5.6,5
"168","6",2,6,6
"169","1",2,4,1
"170","2",2,4.4,2
"171","3",2,4.8,3
"172","4",2,5.2,4
"173","5",2,5.6,5
"174","6",2,6,6
"175","1",2,4,1
"176","2",2,4.4,2
"177","3",2,4.8,3
"178","4",2,5.2,4
"179","5",2,5.6,5
"180","6",2,6,6
"181","1",1,4,1
"182","2",2,4.4,2
"183","3",2,4.8,3
"184","4",2,5.2,4
"185","5",2,5.6,5
"186","6",2,6,6
"187","1",2,4,1
"188","2",2,4.4,2
"189","3",2,4.8,3
"190","4",2,5.2,4
"191","5",2,5.6,5
"192","6",2,6,6
"193","1",2,4,1
"194","2",2,4.4,2
"195","3",2,4.8,3
"196","4",2,5.2,4
"197","5",2,5.6,5
"198","6",2,6,6
"199","1",1,4,1
"200","2",2,4.4,2
"201","3",2,4.8,3
"202","4",2,5.2,4
"203","5",2,5.6,5
"204","6",2,6,6
"205","1",2,4,1
"206","2",2,4.4,2
"207","3",2,4.8,3
"208","4",2,5.2,4
"209","5",2,5.6,5
"210","6",2,6,6
"211","1",1,4,1
"212","2",2,4.4,2
"213","3",2,4.8,3
"214","4",2,5.2,4
"215","5",2,5.6,5
"216","6",2,6,6
"217","1",2,4,1
"218","2",2,4.4,2
"219","3",2,4.8,3
"220","4",2,5.2,4
"221","5",2,5.6,5
"222","6",2,6,6
"223","1",1,4,1
"224","2",2,4.4,2
"225","3",2,4.8,3
"226","4",2,5.2,4
"227","5",2,5.6,5
"228","6",2,6,6
"229","1",2,4,1
"230","2",2,4.4,2
"231","3",2,4.8,3
"232","4",2,5.2,4
"233","5",2,5.6,5
"234","6",2,6,6
"235","1",2,4,1
"236","2",2,4.4,2
"237","3",2,4.8,3
"238","4",2,5.2,4
"239","5",2,5.6,5
"240","6",2,6,6
"241","1",2,4,1
"242","2",2,4.4,2
"243","3",2,4.8,3
"244","4",2,5.2,4
"245","5",2,5.6,5
"246","6",2,6,6
"247","1",2,4,1
"248","2",2,4.4,2
"249","3",2,4.8,3
"250","4",2,5.2,4
"251","5",2,5.6,5
"252","6",2,6,6
"253","1",2,4,1
"254","2",2,4.4,2
"255","3",2,4.8,3
"256","4",2,5.2,4
"257","5",2,5.6,5
"258","6",2,6,6
"259","1",2,4,1
"260","2",2,4.4,2
"261","3",2,4.8,3
"262","4",2,5.2,4
"263","5",2,5.6,5
"264","6",2,6,6
"265","1",2,4,1
"266","2",2,4.4,2
"267","3",2,4.8,3
"268","4",2,5.2,4
"269","5",2,5.6,5
"270","6",2,6,6
"271","1",2,4,1
"272","2",2,4.4,2
"273","3",2,4.8,3
"274","4",2,5.2,4
"275","5",2,5.6,5
"276","6",2,6,6
"277","1",2,4,1
"278","2",2,4.4,2
"279","3",2,4.8,3
"280","4",2,5.2,4
"281","5",2,5.6,5
"282","6",2,6,6
"283","1",2,4,1
"284","2",2,4.4,2
"285","3",2,4.8,3
"286","4",2,5.2,4
"287","5",2,5.6,5
"288","6",2,6,6
"289","1",2,4,1
"290","2",2,4.4,2
"291","3",2,4.8,3
"292","4",2,5.2,4
"293","5",2,5.6,5
"294","6",2,6,6
"295","1",2,4,1
"296","2",2,4.4,2
"297","3",2,4.8,3
"298","4",2,5.2,4
"299","5",2,5.6,5
"300","6",2,6,6
"301","1",1,4,1
"302","2",2,4.4,2
"303","3",2,4.8,3
"304","4",2,5.2,4
"305","5",2,5.6,5
"306","6",2,6,6
"307","1",1,4,1
"308","2",2,4.4,2
"309","3",2,4.8,3
"310","4",2,5.2,4
"311","5",2,5.6,5
"312","6",2,6,6
"313","1",2,4,1
"314","2",2,4.4,2
"315","3",2,4.8,3
"316","4",2,5.2,4
"317","5",2,5.6,5
"318","6",2,6,6
"319","1",2,4,1
"320","2",2,4.4,2
"321","3",2,4.8,3
"322","4",2,5.2,4
"323","5",2,5.6,5
"324","6",2,6,6
"325","1",2,4,1
"326","2",2,4.4,2
"327","3",2,4.8,3
"328","4",2,5.2,4
"329","5",2,5.6,5
"330","6",2,6,6
"331","1",2,4,1
"332","2",2,4.4,2
"333","3",2,4.8,3
"334","4",2,5.2,4
"335","5",2,5.6,5
"336","6",2,6,6
"337","1",2,4,1
"338","2",2,4.4,2
"339","3",2,4.8,3
"340","4",2,5.2,4
"341","5",2,5.6,5
"342","6",2,6,6
"343","1",2,4,1
"344","2",2,4.4,2
"345","3",2,4.8,3
"346","4",2,5.2,4
"347","5",2,5.6,5
"348","6",2,6,6
"349","1",2,4,1
"350","2",2,4.4,2
"351","3",2,4.8,3
"352","4",2,5.2,4
"353","5",2,5.6,5
"354","6",2,6,6
"355","1",2,4,1
"356","2",2,4.4,2
"357","3",2,4.8,3
"358","4",2,5.2,4
"359","5",2,5.6,5
"360","6",2,6,6
"361","1",1,4,1
"362","2",2,4.4,2
"363","3",2,4.8,3
"364","4",2,5.2,4
"365","5",2,5.6,5
"366","6",2,6,6
"367","1",2,4,1
"368","2",2,4.4,2
"369","3",2,4.8,3
"370","4",2,5.2,4
"371","5",2,5.6,5
"372","6",2,6,6
"373","1",1,4,1
"374","2",2,4.4,2
"375","3",2,4.8,3
"376","4",2,5.2,4
"377","5",2,5.6,5
"378","6",2,6,6
"379","1",1,4,1
"380","2",1,4.4,2
"381","3",2,4.8,3
"382","4",2,5.2,4
"383","5",2,5.6,5
"384","6",2,6,6
"385","1",2,4,1
"386","2",2,4.4,2
"387","3",2,4.8,3
"388","4",2,5.2,4
"389","5",2,5.6,5
"390","6",2,6,6
"391","1",2,4,1
"392","2",2,4.4,2
"393","3",2,4.8,3
"394","4",2,5.2,4
"395","5",2,5.6,5
"396","6",2,6,6
"397","1",2,4,1
"398","2",2,4.4,2
"399","3",2,4.8,3
"400","4",2,5.2,4
"401","5",2,5.6,5
"402","6",2,6,6
"403","1",2,4,1
"404","2",2,4.4,2
"405","3",2,4.8,3
"406","4",2,5.2,4
"407","5",2,5.6,5
"408","6",2,6,6
"409","1",2,4,1
"410","2",2,4.4,2
"411","3",2,4.8,3
"412","4",2,5.2,4
"413","5",2,5.6,5
"414","6",2,6,6
"415","1",1,4,1
"416","2",2,4.4,2
"417","3",2,4.8,3
"418","4",2,5.2,4
"419","5",2,5.6,5
"420","6",2,6,6
"421","1",1,4,1
"422","2",2,4.4,2
"423","3",2,4.8,3
"424","4",2,5.2,4
"425","5",2,5.6,5
"426","6",2,6,6
"427","1",2,4,1
"428","2",2,4.4,2
"429","3",2,4.8,3
"430","4",2,5.2,4
"431","5",2,5.6,5
"432","6",2,6,6
"433","1",1,4,1
"434","2",2,4.4,2
"435","3",2,4.8,3
"436","4",2,5.2,4
"437","5",2,5.6,5
"438","6",2,6,6
"439","1",2,4,1
"440","2",2,4.4,2
"441","3",2,4.8,3
"442","4",2,5.2,4
"443","5",2,5.6,5
"444","6",2,6,6
"445","1",2,4,1
"446","2",2,4.4,2
"447","3",2,4.8,3
"448","4",2,5.2,4
"449","5",2,5.6,5
"450","6",2,6,6
"451","1",2,4,1
"452","2",2,4.4,2
"453","3",2,4.8,3
"454","4",2,5.2,4
"455","5",2,5.6,5
"456","6",2,6,6
"457","1",1,4,1
"458","2",2,4.4,2
"459","3",2,4.8,3
"460","4",2,5.2,4
"461","5",2,5.6,5
"462","6",2,6,6
"463","1",1,4,1
"464","2",2,4.4,2
"465","3",2,4.8,3
"466","4",2,5.2,4
"467","5",2,5.6,5
"468","6",2,6,6
"469","1",2,4,1
"470","2",2,4.4,2
"471","3",2,4.8,3
"472","4",2,5.2,4
"473","5",2,5.6,5
"474","6",2,6,6
"475","1",2,4,1
"476","2",2,4.4,2
"477","3",2,4.8,3
"478","4",2,5.2,4
"479","5",2,5.6,5
"480","6",2,6,6
"481","1",2,4,1
"482","2",2,4.4,2
"483","3",2,4.8,3
"484","4",2,5.2,4
"485","5",2,5.6,5
"486","6",2,6,6
"487","1",2,4,1
"488","2",2,4.4,2
"489","3",2,4.8,3
"490","4",2,5.2,4
"491","5",2,5.6,5
"492","6",2,6,6
"493","1",1,4,1
"494","2",2,4.4,2
"495","3",2,4.8,3
"496","4",2,5.2,4
"497","5",2,5.6,5
"498","6",2,6,6
"499","1",2,4,1
"500","2",2,4.4,2
"501","3",2,4.8,3
"502","4",2,5.2,4
