"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",3,1.459,1.42
"2","0.6",3,2.024,2.1
"3","0.75",3,2.692,2.6675
"4","0.84",3,3.406,3.35
"5","0.9",2,4.17,4.14
"6","0.94",2,4.643,4.6125
"7","0.96",2,5.212,5.2175
"8","0.97",2,5.357,5.38
"9","0.98",2,5.617,5.62
"10","0.99",2,5.801,5.77
"11","0.37",2,1.446,1.4575
"12","0.6",2,1.964,1.9575
"13","0.75",2,2.644,2.77
"14","0.84",2,3.395,3.335
"15","0.9",2,4.14,4.0825
"16","0.94",2,4.752,4.775
"17","0.96",2,5.136,5.14
"18","0.97",2,5.474,5.4825
"19","0.98",2,5.592,5.575
"20","0.99",2,5.792,5.7775
"21","0.37",3,1.457,1.4775
"22","0.6",2,2.023,1.935
"23","0.75",2,2.743,2.705
"24","0.84",2,3.399,3.4525
"25","0.9",2,4.102,4.225
"26","0.94",2,4.737,4.7675
"27","0.96",2,5.209,5.165
"28","0.97",2,5.388,5.4
"29","0.98",2,5.564,5.4925
"30","0.99",2,5.807,5.805
"31","0.37",3,1.452,1.4325
"32","0.6",3,2.062,2.0475
"33","0.75",3,2.647,2.73
"34","0.84",2,3.41,3.365
"35","0.9",2,4.155,4.1575
"36","0.94",2,4.687,4.7225
"37","0.96",2,5.067,5.1025
"38","0.97",2,5.394,5.4125
"39","0.98",2,5.578,5.4675
"40","0.99",2,5.762,5.7675
"41","0.37",3,1.438,1.43
"42","0.6",3,2.002,2.0525
"43","0.75",3,2.669,2.675
"44","0.84",3,3.469,3.535
"45","0.9",3,4.081,4.09
"46","0.94",2,4.653,4.6475
"47","0.96",2,5.046,5.075
"48","0.97",2,5.419,5.4175
"49","0.98",2,5.673,5.7225
"50","0.99",2,5.754,5.7
"51","0.37",3,1.462,1.465
"52","0.6",2,1.986,2.025
"53","0.75",3,2.669,2.5625
"54","0.84",2,3.392,3.4325
"55","0.9",2,4.19,4.1675
"56","0.94",2,4.653,4.66
"57","0.96",2,5.123,5.0875
"58","0.97",2,5.426,5.44
"59","0.98",2,5.56,5.5525
"60","0.99",2,5.753,5.815
"61","0.37",3,1.446,1.4525
"62","0.6",3,1.96,1.945
"63","0.75",3,2.674,2.745
"64","0.84",3,3.409,3.35
"65","0.9",3,4.114,4.0625
"66","0.94",2,4.645,4.6475
"67","0.96",2,5.045,4.985
"68","0.97",2,5.451,5.3975
"69","0.98",2,5.64,5.6
"70","0.99",2,5.719,5.705
"71","0.37",2,1.45,1.4475
"72","0.6",2,1.966,1.9475
"73","0.75",2,2.602,2.6525
"74","0.84",2,3.397,3.3525
"75","0.9",2,4.157,4.2225
"76","0.94",2,4.671,4.66
"77","0.96",2,5.131,5.2
"78","0.97",2,5.486,5.4775
"79","0.98",2,5.614,5.6725
"80","0.99",2,5.766,5.7825
"81","0.37",3,1.421,1.43
"82","0.6",3,2.015,2.0425
"83","0.75",3,2.688,2.615
"84","0.84",3,3.375,3.455
"85","0.9",2,4.137,4.185
"86","0.94",2,4.804,4.73
"87","0.96",2,5.116,5.17
"88","0.97",2,5.446,5.5175
"89","0.98",2,5.654,5.6625
"90","0.99",2,5.732,5.7075
"91","0.37",2,1.451,1.4775
"92","0.6",2,1.994,2.005
"93","0.75",2,2.687,2.605
"94","0.84",2,3.462,3.4925
"95","0.9",2,4.037,4.0375
"96","0.94",2,4.658,4.57
"97","0.96",2,5.067,5.0475
"98","0.97",2,5.441,5.485
"99","0.98",2,5.656,5.69
"100","0.99",2,5.798,5.775
"101","0.37",3,1.454,1.4375
"102","0.6",3,1.994,1.955
"103","0.75",3,2.711,2.7275
"104","0.84",3,3.432,3.4975
"105","0.9",2,4.095,4.0375
"106","0.94",2,4.677,4.4725
"107","0.96",2,5.054,5.04
"108","0.97",2,5.442,5.3975
"109","0.98",2,5.606,5.655
"110","0.99",2,5.753,5.7225
"111","0.37",2,1.446,1.41
"112","0.6",2,1.941,1.9325
"113","0.75",2,2.642,2.54
"114","0.84",2,3.473,3.405
"115","0.9",2,4.092,4.18
"116","0.94",2,4.62,4.6325
"117","0.96",2,5.055,5.11
"118","0.97",2,5.335,5.405
"119","0.98",2,5.639,5.6775
"120","0.99",2,5.722,5.7325
"121","0.37",2,1.426,1.37
"122","0.6",2,1.972,1.93
"123","0.75",2,2.679,2.845
"124","0.84",2,3.413,3.4975
"125","0.9",2,4.114,4.19
"126","0.94",2,4.707,4.715
"127","0.96",2,5.098,5.075
"128","0.97",2,5.479,5.4425
"129","0.98",2,5.676,5.655
"130","0.99",2,5.746,5.8175
"131","0.37",3,1.42,1.4025
"132","0.6",3,1.986,1.9325
"133","0.75",3,2.713,2.8325
"134","0.84",3,3.34,3.2525
"135","0.9",3,4.036,4.04
"136","0.94",2,4.638,4.55
"137","0.96",2,5.219,5.1375
"138","0.97",2,5.424,5.41
"139","0.98",2,5.544,5.585
"140","0.99",2,5.742,5.73
"141","0.37",3,1.505,1.535
"142","0.6",3,1.972,2.03
"143","0.75",3,2.671,2.745
"144","0.84",3,3.486,3.4975
"145","0.9",3,4.05,4.12
"146","0.94",3,4.708,4.7275
"147","0.96",2,5.126,5.0775
"148","0.97",2,5.419,5.4025
"149","0.98",2,5.621,5.5775
"150","0.99",2,5.774,5.7475
"151","0.37",3,1.444,1.475
"152","0.6",3,2.029,2.075
"153","0.75",3,2.752,2.6425
"154","0.84",2,3.462,3.37
"155","0.9",2,4.215,4.135
"156","0.94",2,4.704,4.775
"157","0.96",2,5.133,5.1125
"158","0.97",2,5.434,5.43
"159","0.98",2,5.643,5.635
"160","0.99",2,5.776,5.785
"161","0.37",2,1.452,1.4375
"162","0.6",2,2.022,1.985
"163","0.75",2,2.666,2.745
"164","0.84",2,3.387,3.4125
"165","0.9",2,4.143,4.1025
"166","0.94",2,4.734,4.615
"167","0.96",2,5.113,5.08
"168","0.97",2,5.439,5.49
"169","0.98",2,5.607,5.63
"170","0.99",2,5.722,5.71
"171","0.37",3,1.43,1.4575
"172","0.6",3,1.985,2
"173","0.75",3,2.6,2.565
"174","0.84",2,3.404,3.4125
"175","0.9",3,4.04,4.0925
"176","0.94",2,4.716,4.7325
"177","0.96",2,5.107,5.1
"178","0.97",2,5.38,5.3225
"179","0.98",2,5.599,5.5575
"180","0.99",2,5.791,5.785
"181","0.37",4,1.464,1.46
"182","0.6",4,1.968,2.015
"183","0.75",3,2.788,2.8175
"184","0.84",3,3.378,3.47
"185","0.9",3,4.139,4.1
"186","0.94",2,4.727,4.7925
"187","0.96",2,5.131,5.1225
"188","0.97",2,5.435,5.4625
"189","0.98",2,5.629,5.645
"190","0.99",2,5.833,5.8225
"191","0.37",2,1.471,1.485
"192","0.6",2,2.043,1.9675
"193","0.75",2,2.651,2.655
"194","0.84",2,3.363,3.4225
"195","0.9",2,4.12,4.005
"196","0.94",2,4.641,4.6125
"197","0.96",2,5.179,5.1075
"198","0.97",2,5.375,5.2575
"199","0.98",2,5.603,5.645
"200","0.99",2,5.751,5.73
"201","0.37",3,1.441,1.4275
"202","0.6",3,1.995,2.0425
"203","0.75",3,2.621,2.6425
"204","0.84",3,3.533,3.4825
"205","0.9",3,4.051,3.965
"206","0.94",2,4.744,4.87
"207","0.96",2,5.263,5.26
"208","0.97",2,5.371,5.4375
"209","0.98",2,5.684,5.705
"210","0.99",2,5.78,5.78
"211","0.37",3,1.441,1.4275
"212","0.6",3,1.977,1.985
"213","0.75",2,2.6,2.5725
"214","0.84",2,3.473,3.5625
"215","0.9",2,4.015,4.085
"216","0.94",2,4.696,4.6975
"217","0.96",2,5.109,5.03
"218","0.97",2,5.521,5.5725
"219","0.98",2,5.618,5.55
"220","0.99",2,5.779,5.7875
"221","0.37",3,1.439,1.4125
"222","0.6",3,2.038,2.025
"223","0.75",3,2.681,2.7325
"224","0.84",3,3.348,3.4425
"225","0.9",2,4.134,4.1225
"226","0.94",2,4.759,4.6875
"227","0.96",2,5.139,5.1325
"228","0.97",2,5.412,5.57
"229","0.98",2,5.615,5.56
"230","0.99",2,5.725,5.775
"231","0.37",3,1.447,1.4475
"232","0.6",3,1.968,2.0375
"233","0.75",3,2.661,2.69
"234","0.84",2,3.495,3.555
"235","0.9",2,4.058,4.055
"236","0.94",2,4.664,4.7775
"237","0.96",2,5.162,5.065
"238","0.97",2,5.43,5.3625
"239","0.98",2,5.622,5.66
"240","0.99",2,5.767,5.775
"241","0.37",3,1.457,1.405
