"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",1,1.495,1.555
"2","0.6",1,1.96,2.02
"3","0.75",1,2.709,2.64
"4","0.84",1,3.326,3.14
"5","0.9",1,4.11,4.22
"6","0.94",1,4.604,4.605
"7","0.96",1,5.162,5.065
"8","0.97",1,5.375,5.335
"9","0.98",1,5.609,5.545
"10","0.99",1,5.784,5.78
"11","0.37",1,1.447,1.475
"12","0.6",1,1.953,2.035
"13","0.75",1,2.687,2.845
"14","0.84",1,3.471,3.655
"15","0.9",1,4.206,4.14
"16","0.94",1,4.706,4.725
"17","0.96",1,5.112,5.035
"18","0.97",1,5.448,5.39
"19","0.98",1,5.582,5.365
"20","0.99",1,5.743,5.7
"21","0.37",1,1.443,1.475
"22","0.6",1,2.033,1.995
"23","0.75",1,2.745,2.75
"24","0.84",1,3.41,3.325
"25","0.9",1,4.092,4.31
"26","0.94",1,4.717,4.545
"27","0.96",1,5.173,5.255
"28","0.97",1,5.376,5.35
"29","0.98",1,5.627,5.685
"30","0.99",1,5.805,5.74
"31","0.37",1,1.456,1.485
"32","0.6",1,2.035,1.965
"33","0.75",1,2.643,2.7
"34","0.84",1,3.405,3.29
"35","0.9",1,4.138,4.145
"36","0.94",1,4.643,4.67
"37","0.96",1,5.079,4.98
"38","0.97",1,5.428,5.355
"39","0.98",1,5.607,5.585
"40","0.99",1,5.735,5.77
"41","0.37",1,1.437,1.425
"42","0.6",1,1.977,1.985
"43","0.75",1,2.668,2.75
"44","0.84",1,3.414,3.3
"45","0.9",1,4.106,4.14
"46","0.94",1,4.656,4.59
"47","0.96",1,5.095,5.205
"48","0.97",1,5.422,5.405
"49","0.98",1,5.637,5.64
"50","0.99",1,5.766,5.725
"51","0.37",1,1.463,1.475
"52","0.6",1,1.958,2.005
"53","0.75",1,2.705,2.75
"54","0.84",1,3.344,3.645
"55","0.9",1,4.192,3.88
"56","0.94",1,4.674,4.635
"57","0.96",1,5.217,5.29
"58","0.97",1,5.38,5.465
"59","0.98",1,5.587,5.635
"60","0.99",1,5.749,5.78
"61","0.37",1,1.441,1.405
"62","0.6",1,1.973,1.975
"63","0.75",1,2.699,2.675
"64","0.84",1,3.367,3.34
"65","0.9",1,4.086,4.165
"66","0.94",1,4.677,4.84
"67","0.96",1,5.087,5.195
"68","0.97",1,5.45,5.465
"69","0.98",1,5.689,5.745
"70","0.99",1,5.734,5.7
"71","0.37",2,1.455,1.485
