"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",1,5.106,1.53
"2","0.6",1,5.201,2.005
"3","0.75",1,5.318,2.59
"4","0.84",1,5.491,3.455
"5","0.9",1,5.622,4.11
"6","0.94",1,5.79,4.95
"7","0.96",1,5.86,5.3
"8","0.97",1,5.869,5.345
"9","0.98",1,5.93,5.65
"10","0.99",1,5.939,5.695
"11","0.37",1,5.089,1.445
"12","0.6",1,5.182,1.91
"13","0.75",1,5.308,2.54
"14","0.84",1,5.459,3.295
"15","0.9",1,5.581,3.905
"16","0.94",1,5.725,4.625
"17","0.96",1,5.814,5.07
"18","0.97",1,5.875,5.375
"19","0.98",1,5.947,5.735
"20","0.99",1,5.957,5.785
"21","0.37",1,5.094,1.47
"22","0.6",1,5.18,1.9
"23","0.75",1,5.328,2.64
"24","0.84",1,5.432,3.16
"25","0.9",1,5.592,3.96
"26","0.94",1,5.732,4.66
"27","0.96",1,5.814,5.07
"28","0.97",1,5.9,5.5
"29","0.98",1,5.918,5.59
"30","0.99",1,5.943,5.715
"31","0.37",1,5.101,1.505
"32","0.6",1,5.221,2.105
"33","0.75",1,5.402,3.01
"34","0.84",1,5.496,3.48
"35","0.9",1,5.644,4.22
"36","0.94",1,5.733,4.665
"37","0.96",1,5.858,5.29
"38","0.97",1,5.884,5.42
"39","0.98",1,5.927,5.635
"40","0.99",1,5.933,5.665
"41","0.37",1,5.079,1.395
"42","0.6",1,5.187,1.935
"43","0.75",1,5.313,2.565
"44","0.84",1,5.461,3.305
"45","0.9",1,5.652,4.26
"46","0.94",1,5.751,4.755
"47","0.96",1,5.836,5.18
"48","0.97",1,5.867,5.335
"49","0.98",1,5.939,5.695
"50","0.99",1,5.959,5.795
"51","0.37",1,5.102,1.51
"52","0.6",1,5.198,1.99
"53","0.75",1,5.341,2.705
"54","0.84",1,5.463,3.315
"55","0.9",1,5.62,4.1
"56","0.94",1,5.8,5
"57","0.96",1,5.816,5.08
"58","0.97",1,5.901,5.505
"59","0.98",1,5.943,5.715
"60","0.99",1,5.92,5.6
"61","0.37",1,5.107,1.535
"62","0.6",1,5.194,1.97
"63","0.75",1,5.312,2.56
"64","0.84",1,5.51,3.55
"65","0.9",1,5.653,4.265
"66","0.94",1,5.793,4.965
"67","0.96",1,5.831,5.155
"68","0.97",1,5.898,5.49
"69","0.98",1,5.909,5.545
"70","0.99",1,5.943,5.715
"71","0.37",1,5.083,1.415
"72","0.6",1,5.179,1.895
"73","0.75",1,5.337,2.685
"74","0.84",1,5.46,3.3
"75","0.9",1,5.582,3.91
"76","0.94",1,5.798,4.99
"77","0.96",1,5.832,5.16
"78","0.97",1,5.866,5.33
"79","0.98",1,5.937,5.685
"80","0.99",1,5.968,5.84
"81","0.37",1,5.082,1.41
"82","0.6",1,5.211,2.055
"83","0.75",1,5.377,2.885
"84","0.84",1,5.461,3.305
"85","0.9",1,5.652,4.26
"86","0.94",1,5.738,4.69
"87","0.96",1,5.823,5.115
"88","0.97",1,5.891,5.455
"89","0.98",1,5.905,5.525
"90","0.99",1,5.923,5.615
"91","0.37",1,5.083,1.415
"92","0.6",1,5.229,2.145
"93","0.75",1,5.374,2.87
"94","0.84",1,5.503,3.515
"95","0.9",1,5.655,4.275
"96","0.94",1,5.737,4.685
