"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","0.37",2,4.169,1.4225
"2","0.6",2,4.383,1.9575
"3","0.75",2,4.71,2.775
"4","0.84",2,4.928,3.32
"5","0.9",2,5.274,4.185
"6","0.94",2,5.448,4.62
"7","0.96",2,5.679,5.1975
"8","0.97",2,5.79,5.475
"9","0.98",2,5.852,5.63
"10","0.99",2,5.91,5.775
"11","0.37",2,4.202,1.505
"12","0.6",2,4.412,2.03
"13","0.75",2,4.645,2.6125
"14","0.84",2,4.971,3.4275
"15","0.9",2,5.276,4.19
"16","0.94",2,5.476,4.69
"17","0.96",2,5.644,5.11
"18","0.97",2,5.708,5.27
"19","0.98",2,5.85,5.625
"20","0.99",2,5.899,5.7475
"21","0.37",2,4.163,1.4075
"22","0.6",2,4.404,2.01
"23","0.75",2,4.651,2.6275
"24","0.84",2,4.985,3.4625
"25","0.9",2,5.236,4.09
"26","0.94",2,5.549,4.8725
"27","0.96",2,5.676,5.19
"28","0.97",2,5.769,5.4225
"29","0.98",2,5.87,5.675
"30","0.99",2,5.882,5.705
"31","0.37",2,4.16,1.4
"32","0.6",2,4.401,2.0025
"33","0.75",2,4.69,2.725
"34","0.84",2,5.031,3.5775
"35","0.9",2,5.24,4.1
"36","0.94",2,5.5,4.75
"37","0.96",2,5.624,5.06
"38","0.97",2,5.79,5.475
"39","0.98",2,5.83,5.575
"40","0.99",2,5.894,5.735
"41","0.37",2,4.173,1.4325
"42","0.6",2,4.376,1.94
"43","0.75",2,4.719,2.7975
"44","0.84",2,4.969,3.4225
"45","0.9",2,5.309,4.2725
"46","0.94",2,5.449,4.6225
"47","0.96",2,5.655,5.1375
"48","0.97",2,5.75,5.375
"49","0.98",2,5.851,5.6275
"50","0.99",2,5.891,5.7275
"51","0.37",2,4.183,1.4575
"52","0.6",2,4.394,1.985
"53","0.75",2,4.674,2.685
"54","0.84",2,4.967,3.4175
"55","0.9",2,5.283,4.2075
"56","0.94",2,5.468,4.67
"57","0.96",2,5.677,5.1925
"58","0.97",2,5.775,5.4375
"59","0.98",2,5.874,5.685
"60","0.99",2,5.93,5.825
"61","0.37",1,4.188,1.47
"62","0.6",2,4.393,1.9825
"63","0.75",2,4.702,2.755
"64","0.84",2,4.983,3.4575
"65","0.9",2,5.287,4.2175
"66","0.94",2,5.428,4.57
"67","0.96",2,5.645,5.1125
"68","0.97",2,5.715,5.2875
"69","0.98",2,5.825,5.5625
"70","0.99",2,5.874,5.685
"71","0.37",2,4.185,1.4625
"72","0.6",2,4.391,1.9775
"73","0.75",2,4.664,2.66
"74","0.84",2,4.974,3.435
"75","0.9",2,5.225,4.0625
"76","0.94",2,5.525,4.8125
"77","0.96",2,5.632,5.08
"78","0.97",2,5.804,5.51
"79","0.98",2,5.842,5.605
"80","0.99",2,5.903,5.7575
"81","0.37",2,4.185,1.4625
"82","0.6",2,4.395,1.9875
"83","0.75",2,4.619,2.5475
"84","0.84",2,4.961,3.4025
"85","0.9",2,5.21,4.025
"86","0.94",2,5.408,4.52
"87","0.96",2,5.631,5.0775
"88","0.97",2,5.767,5.4175
"89","0.98",2,5.869,5.6725
"90","0.99",2,5.917,5.7925
"91","0.37",2,4.169,1.4225
"92","0.6",2,4.392,1.98
"93","0.75",2,4.707,2.7675
"94","0.84",2,5.014,3.535
"95","0.9",2,5.23,4.075
"96","0.94",2,5.515,4.7875
"97","0.96",2,5.609,5.0225
"98","0.97",2,5.716,5.29
"99","0.98",2,5.814,5.535
"100","0.99",2,5.894,5.735
"101","0.37",2,4.177,1.4425
"102","0.6",2,4.388,1.97
"103","0.75",2,4.671,2.6775
"104","0.84",2,4.912,3.28
"105","0.9",2,5.263,4.1575
"106","0.94",2,5.409,4.5225
"107","0.96",2,5.637,5.0925
"108","0.97",2,5.747,5.3675
"109","0.98",2,5.852,5.63
"110","0.99",2,5.908,5.77
"111","0.37",2,4.181,1.4525
"112","0.6",2,4.401,2.0025
"113","0.75",2,4.609,2.5225
"114","0.84",2,4.954,3.385
"115","0.9",2,5.264,4.16
"116","0.94",2,5.513,4.7825
"117","0.96",2,5.674,5.185
"118","0.97",2,5.804,5.51
"119","0.98",2,5.847,5.6175
"120","0.99",2,5.878,5.695
"121","0.37",2,4.187,1.4675
"122","0.6",2,4.392,1.98
"123","0.75",2,4.691,2.7275
"124","0.84",2,4.965,3.4125
"125","0.9",2,5.276,4.19
"126","0.94",2,5.417,4.5425
"127","0.96",2,5.602,5.005
"128","0.97",2,5.719,5.2975
"129","0.98",2,5.85,5.625
"130","0.99",2,5.887,5.7175
"131","0.37",2,4.194,1.485
"132","0.6",2,4.423,2.0575
"133","0.75",2,4.72,2.8
"134","0.84",2,4.947,3.3675
"135","0.9",2,5.248,4.12
"136","0.94",2,5.484,4.71
"137","0.96",2,5.626,5.065
"138","0.97",2,5.802,5.505
"139","0.98",2,5.834,5.585
"140","0.99",2,5.888,5.72
"141","0.37",1,4.171,1.4275
"142","0.6",2,4.425,2.0625
"143","0.75",2,4.597,2.4925
"144","0.84",2,5.023,3.5575
"145","0.9",2,5.236,4.09
"146","0.94",2,5.488,4.72
"147","0.96",2,5.64,5.1
"148","0.97",2,5.775,5.4375
"149","0.98",2,5.852,5.63
"150","0.99",2,5.904,5.76
"151","0.37",2,4.201,1.5025
"152","0.6",2,4.384,1.96
"153","0.75",2,4.695,2.7375
"154","0.84",2,4.932,3.33
"155","0.9",2,5.236,4.09
"156","0.94",2,5.489,4.7225
"157","0.96",2,5.683,5.2075
"158","0.97",2,5.773,5.4325
"159","0.98",2,5.841,5.6025
"160","0.99",2,5.929,5.8225
"161","0.37",2,4.18,1.45
"162","0.6",2,4.404,2.01
"163","0.75",2,4.606,2.515
"164","0.84",2,5.011,3.5275
"165","0.9",2,5.311,4.2775
"166","0.94",2,5.46,4.65
"167","0.96",2,5.684,5.21
"168","0.97",2,5.777,5.4425
"169","0.98",2,5.86,5.65
"170","0.99",2,5.896,5.74
"171","0.37",2,4.167,1.4175
"172","0.6",2,4.408,2.02
"173","0.75",2,4.695,2.7375
"174","0.84",2,4.981,3.4525
"175","0.9",2,5.181,3.9525
"176","0.94",2,5.477,4.6925
"177","0.96",2,5.628,5.07
"178","0.97",2,5.746,5.365
"179","0.98",2,5.849,5.6225
"180","0.99",2,5.887,5.7175
"181","0.37",2,4.18,1.45
"182","0.6",2,4.399,1.9975
"183","0.75",2,4.682,2.705
"184","0.84",2,4.916,3.29
"185","0.9",2,5.251,4.1275
"186","0.94",2,5.464,4.66
"187","0.96",2,5.647,5.1175
"188","0.97",2,5.817,5.5425
"189","0.98",2,5.858,5.645
"190","0.99",2,5.926,5.815
"191","0.37",2,4.167,1.4175
"192","0.6",2,4.397,1.9925
"193","0.75",2,4.666,2.665
"194","0.84",2,4.927,3.3175
"195","0.9",2,5.247,4.1175
"196","0.94",2,5.463,4.6575
"197","0.96",2,5.669,5.1725
"198","0.97",2,5.751,5.3775
"199","0.98",2,5.809,5.5225
"200","0.99",2,5.913,5.7825
"201","0.37",2,4.177,1.4425
