"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,1.828,1.81
"2","-0.4",2,2.092,2.21
"3","-0.6",2,2.474,2.69666666666667
"4","-0.8",2,2.896,3.18
"5","-1",2,3.308,3.68
"6","-1.2",2,3.719,4.16333333333333
"7","-1.4",2,4.253,4.73
"8","-1.6",2,4.571,5.03666666666667
"9","-1.8",2,4.904,5.4
"10","-2",2,5.187,5.48333333333333
"11","-0.2",2,1.689,1.23333333333333
"12","-0.4",2,1.882,1.34
"13","-0.6",2,2.167,1.47
"14","-0.8",2,2.464,1.67666666666667
"15","-1",2,2.708,1.87333333333333
"16","-1.2",2,3.005,1.99
"17","-1.4",2,3.237,2.23
"18","-1.6",2,3.569,2.50333333333333
"19","-1.8",2,3.735,2.57666666666667
"20","-2",2,3.923,2.82666666666667
"21","-0.2",3,1.621,1.85
"22","-0.4",3,1.86,2.14
"23","-0.6",3,2.181,2.59333333333333
"24","-0.8",2,2.5,3.03333333333333
"25","-1",2,2.787,3.37666666666667
"26","-1.2",2,3.157,3.7
"27","-1.4",2,3.459,4.08666666666667
"28","-1.6",2,3.765,4.33333333333333
"29","-1.8",2,4.05,4.57333333333333
"30","-2",2,4.339,4.88666666666667
"31","-0.2",2,1.731,1.63666666666667
"32","-0.4",2,1.906,1.92666666666667
"33","-0.6",2,2.247,2.31666666666667
"34","-0.8",2,2.571,2.47333333333333
"35","-1",2,2.934,2.84666666666667
"36","-1.2",2,3.259,3.14333333333333
"37","-1.4",2,3.68,3.57666666666667
"38","-1.6",2,4.142,3.99333333333333
"39","-1.8",2,4.494,4.32333333333333
"40","-2",2,4.825,4.53
"41","-0.2",3,1.764,2.01
"42","-0.4",3,1.944,2.2
"43","-0.6",3,2.336,2.86666666666667
"44","-0.8",3,2.742,3.42666666666667
"45","-1",3,3.104,3.96666666666667
"46","-1.2",3,3.467,4.52
"47","-1.4",2,3.793,4.76666666666667
"48","-1.6",2,4.116,5.18
"49","-1.8",2,4.368,5.38333333333333
"50","-2",2,4.683,5.62
"51","-0.2",2,1.904,1.95333333333333
"52","-0.4",2,2.299,2.51333333333333
"53","-0.6",2,2.764,3.00333333333333
"54","-0.8",2,3.205,3.44
"55","-1",2,3.628,3.85
"56","-1.2",2,4.262,4.55
"57","-1.4",2,4.728,5.03
"58","-1.6",2,5.102,5.38666666666667
"59","-1.8",2,5.317,5.49
"60","-2",2,5.552,5.61333333333333
"61","-0.2",2,1.766,1.66333333333333
