"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",1,1.927,1.85
"2","-0.4",1,2.225,2.28
"3","-0.6",1,2.62,2.8
"4","-0.8",1,3.024,3.05
"5","-1",1,3.6,3.79
"6","-1.2",1,3.896,4.195
"7","-1.4",1,4.362,4.7
"8","-1.6",1,4.664,5.08
"9","-1.8",1,4.961,5.5
"10","-2",1,5.194,5.555
"11","-0.2",1,1.969,1.98
"12","-0.4",1,2.376,2.365
"13","-0.6",1,2.913,2.675
"14","-0.8",1,3.459,3.185
"15","-1",1,3.968,3.66
"16","-1.2",1,4.46,4.215
"17","-1.4",1,4.81,4.415
"18","-1.6",1,5.177,5.005
"19","-1.8",1,5.466,5.365
"20","-2",1,5.601,5.38
"21","-0.2",1,2,2.03
"22","-0.4",1,2.364,2.315
"23","-0.6",1,2.771,2.75
"24","-0.8",1,3.301,3.255
"25","-1",1,3.887,4.15
"26","-1.2",1,4.318,4.55
"27","-1.4",1,4.765,4.89
"28","-1.6",1,5.16,5.335
"29","-1.8",1,5.388,5.59
"30","-2",1,5.58,5.655
"31","-0.2",1,1.984,1.93
"32","-0.4",1,2.458,2.51
"33","-0.6",1,2.913,2.915
"34","-0.8",1,3.424,3.325
"35","-1",1,3.885,3.85
"36","-1.2",1,4.354,4.475
"37","-1.4",1,4.87,4.84
"38","-1.6",1,5.16,5.28
"39","-1.8",1,5.441,5.57
"40","-2",1,5.631,5.715
"41","-0.2",1,1.941,1.875
"42","-0.4",1,2.278,2.335
"43","-0.6",1,2.724,2.84
"44","-0.8",1,3.251,3.38
"45","-1",1,3.722,3.835
"46","-1.2",1,4.237,4.395
"47","-1.4",1,4.598,4.785
"48","-1.6",1,4.944,5.245
"49","-1.8",1,5.259,5.475
"50","-2",1,5.518,5.6
"51","-0.2",1,1.908,1.78
"52","-0.4",1,2.291,2.04
"53","-0.6",1,2.764,2.455
"54","-0.8",1,3.169,2.855
"55","-1",1,3.678,3.275
"56","-1.2",1,4.193,4.125
"57","-1.4",1,4.538,4.31
"58","-1.6",1,5.008,4.82
"59","-1.8",1,5.249,5.105
"60","-2",1,5.489,5.42
