"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",2,4.322,1.805
"2","-0.4",2,4.487,2.2175
"3","-0.6",2,4.703,2.7575
"4","-0.8",2,4.827,3.0675
"5","-1",2,5.077,3.6925
"6","-1.2",2,5.249,4.1225
"7","-1.4",2,5.468,4.67
"8","-1.6",2,5.6,5
"9","-1.8",2,5.732,5.33
"10","-2",2,5.829,5.5725
"11","-0.2",2,4.328,1.82
"12","-0.4",2,4.389,1.9725
"13","-0.6",2,4.508,2.27
"14","-0.8",2,4.641,2.6025
"15","-1",2,4.826,3.065
"16","-1.2",2,5.002,3.505
"17","-1.4",2,5.174,3.935
"18","-1.6",2,5.279,4.1975
"19","-1.8",2,5.509,4.7725
"20","-2",2,5.569,4.9225
"21","-0.2",1,4.151,1.3775
"22","-0.4",1,4.237,1.5925
"23","-0.6",1,4.325,1.8125
"24","-0.8",2,4.479,2.1975
"25","-1",2,4.573,2.4325
"26","-1.2",2,4.706,2.765
"27","-1.4",2,4.896,3.24
"28","-1.6",2,5.09,3.725
"29","-1.8",2,5.221,4.0525
"30","-2",2,5.296,4.24
"31","-0.2",2,4.322,1.805
"32","-0.4",2,4.456,2.14
"33","-0.6",2,4.534,2.335
"34","-0.8",2,4.673,2.6825
"35","-1",2,4.852,3.13
"36","-1.2",2,5.014,3.535
"37","-1.4",2,5.14,3.85
"38","-1.6",2,5.323,4.3075
"39","-1.8",2,5.43,4.575
"40","-2",2,5.551,4.8775
"41","-0.2",2,4.301,1.7525
"42","-0.4",2,4.377,1.9425
"43","-0.6",2,4.532,2.33
"44","-0.8",2,4.697,2.7425
"45","-1",2,4.84,3.1
"46","-1.2",2,4.973,3.4325
"47","-1.4",2,5.147,3.8675
"48","-1.6",2,5.31,4.275
"49","-1.8",2,5.44,4.6
"50","-2",2,5.591,4.9775
"51","-0.2",2,4.313,1.7825
"52","-0.4",2,4.438,2.095
"53","-0.6",2,4.577,2.4425
"54","-0.8",2,4.77,2.925
"55","-1",2,4.932,3.33
"56","-1.2",2,5.092,3.73
"57","-1.4",2,5.247,4.1175
"58","-1.6",2,5.322,4.305
"59","-1.8",2,5.463,4.6575
"60","-2",2,5.484,4.71
"61","-0.2",2,4.225,1.5625
"62","-0.4",2,4.321,1.8025
"63","-0.6",2,4.428,2.07
"64","-0.8",2,4.506,2.265
"65","-1",2,4.64,2.6
"66","-1.2",2,4.798,2.995
"67","-1.4",2,4.92,3.3
"68","-1.6",2,5.021,3.5525
"69","-1.8",2,5.143,3.8575
"70","-2",2,5.272,4.18
"71","-0.2",2,4.309,1.7725
"72","-0.4",2,4.416,2.04
"73","-0.6",2,4.566,2.415
"74","-0.8",2,4.754,2.885
"75","-1",2,4.897,3.2425
"76","-1.2",2,5.152,3.88
"77","-1.4",2,5.253,4.1325
"78","-1.6",2,5.347,4.3675
"79","-1.8",2,5.517,4.7925
"80","-2",2,5.61,5.025
"81","-0.2",2,4.259,1.6475
"82","-0.4",2,4.377,1.9425
"83","-0.6",2,4.411,2.0275
"84","-0.8",2,4.556,2.39
"85","-1",2,4.679,2.6975
"86","-1.2",2,4.761,2.9025
"87","-1.4",2,4.864,3.16
"88","-1.6",2,4.959,3.3975
"89","-1.8",2,5.068,3.67
"90","-2",2,5.233,4.0825
"91","-0.2",2,4.277,1.6925
"92","-0.4",2,4.381,1.9525
"93","-0.6",2,4.517,2.2925
"94","-0.8",2,4.662,2.655
"95","-1",2,4.827,3.0675
"96","-1.2",2,5.002,3.505
"97","-1.4",2,5.099,3.7475
"98","-1.6",2,5.288,4.22
"99","-1.8",2,5.432,4.58
"100","-2",2,5.547,4.8675
"101","-0.2",2,4.295,1.7375
"102","-0.4",2,4.378,1.945
"103","-0.6",2,4.513,2.2825
