"","S","group1wins","average_ballot_length_all","average_ballot_length_group1"
"1","-0.2",1,4.754,1.84666666666667
"2","-0.4",1,4.882,2.27333333333333
"3","-0.6",1,5.053,2.84333333333333
"4","-0.8",1,5.165,3.21666666666667
"5","-1",1,5.331,3.77
"6","-1.2",2,5.448,4.16
"7","-1.4",2,5.644,4.81333333333333
"8","-1.6",2,5.723,5.07666666666667
"9","-1.8",2,5.791,5.30333333333333
"10","-2",2,5.874,5.58
"11","-0.2",1,4.783,1.94333333333333
"12","-0.4",1,4.84,2.13333333333333
"13","-0.6",1,4.965,2.55
"14","-0.8",2,5.125,3.08333333333333
"15","-1",1,5.254,3.51333333333333
"16","-1.2",2,5.396,3.98666666666667
"17","-1.4",2,5.535,4.45
"18","-1.6",2,5.678,4.92666666666667
"19","-1.8",2,5.768,5.22666666666667
"20","-2",2,5.846,5.48666666666667
"21","-0.2",1,4.745,1.81666666666667
"22","-0.4",1,4.869,2.23
"23","-0.6",1,5.014,2.71333333333333
"24","-0.8",2,5.149,3.16333333333333
"25","-1",2,5.244,3.48
"26","-1.2",2,5.404,4.01333333333333
"27","-1.4",2,5.518,4.39333333333333
"28","-1.6",2,5.658,4.86
"29","-1.8",2,5.751,5.17
"30","-2",2,5.812,5.37333333333333
"31","-0.2",1,4.79,1.96666666666667
"32","-0.4",1,4.953,2.51
"33","-0.6",1,5.051,2.83666666666667
"34","-0.8",1,5.259,3.53
"35","-1",1,5.394,3.98
"36","-1.2",2,5.54,4.46666666666667
"37","-1.4",2,5.667,4.89
"38","-1.6",2,5.767,5.22333333333333
"39","-1.8",2,5.825,5.41666666666667
"40","-2",2,5.901,5.67
"41","-0.2",1,4.775,1.91666666666667
"42","-0.4",1,4.965,2.55
"43","-0.6",1,5.058,2.86
"44","-0.8",1,5.255,3.51666666666667
"45","-1",2,5.402,4.00666666666667
"46","-1.2",2,5.563,4.54333333333333
"47","-1.4",2,5.706,5.02
"48","-1.6",2,5.783,5.27666666666667
"49","-1.8",2,5.881,5.60333333333333
"50","-2",2,5.933,5.77666666666667
"51","-0.2",1,4.753,1.84333333333333
"52","-0.4",1,4.811,2.03666666666667
"53","-0.6",1,4.948,2.49333333333333
"54","-0.8",1,5.095,2.98333333333333
"55","-1",1,5.168,3.22666666666667
"56","-1.2",1,5.329,3.76333333333333
"57","-1.4",2,5.504,4.34666666666667
"58","-1.6",2,5.627,4.75666666666667
"59","-1.8",2,5.722,5.07333333333333
"60","-2",2,5.81,5.36666666666667
"61","-0.2",1,4.722,1.74
"62","-0.4",1,4.801,2.00333333333333
